id,amount,cocktailid,ingredientid,measureid
1,1.5,1,15,1
2,0.75,1,34,1
3,0.75,1,91,1
4,0.5,1,121,1
5,0,1,144,5
6,0,1,113,5
7,0,1,148,5
8,2,2,5,1
9,2,2,83,2
10,0.5,2,123,1
11,0,2,142,5
12,0,2,155,5
13,1,3,21,1
14,1,3,34,1
15,1,3,91,1
16,0,3,87,5
17,0,3,142,5
18,1,4,14,1
19,1,4,41,1
20,1,4,63,1
21,0,4,142,5
22,0,4,155,5
23,2,5,21,1
24,0.75,5,91,1
25,3,5,102,1
26,0,5,136,0
27,0,5,153,0
28,3,6,14,1
29,0.5,6,62,1
30,0,6,151,5
31,2,7,7,1
32,0.75,7,91,1
33,0.5,7,123,1
34,3,7,99,1
35,1,7,116,5
36,0,7,136,5
37,2,8,5,1
38,0.75,8,92,1
39,0.5,8,123,1
40,1,8,118,5
41,0,8,155,5
42,1.5,9,14,1
43,0.75,9,92,1
44,0.5,9,123,1
45,3,9,58,1
46,0,9,141,5
47,2,10,3,1
48,1,10,63,1
49,2,10,83,2
50,0,10,155,5
51,3,11,64,1
52,2,11,42,1
53,1,11,99,1
54,0,11,145,5
55,2.5,12,14,1
56,0.5,12,91,1
57,0.5,12,123,1
58,0,12,144,5
59,1.5,13,3,1
60,0.5,13,22,1
61,3,13,84,3
62,1,13,108,4
63,0,13,141,5
64,2,14,51,1
65,3,14,101,1
66,1,14,134,5
67,3,14,131,5
68,1,14,127,5
69,1,14,129,5
70,0,14,153,5
71,2.5,15,58,1
72,2.5,15,88,1
73,0,15,145,5
74,2,16,7,1
75,2,16,9,1
76,2,16,95,1
77,1,16,88,1
78,0.5,16,85,1
79,0.5,16,91,1
80,0.5,16,123,1
81,0,16,145,5
82,0,16,155,5
83,2,17,21,1
84,1,17,23,1
85,1,17,159,1
86,1.5,18,16,1
87,0.5,18,63,1
88,0.5,18,62,1
89,0.5,18,41,1
90,1,18,83,3
91,2,19,14,1
92,0.5,19,91,1
93,1,19,105,1
94,0,19,144,5
95,1.5,20,16,1
96,3,20,89,1
97,0.75,20,91,1
98,0.5,20,121,1
99,2,20,90,1
100,0,20,143,5
101,2,21,1,1
102,0.75,21,92,1
103,0.75,21,32,1
104,0,21,142,5
105,3,22,5,1
106,0.5,22,123,1
107,1,22,116,5
108,1.5,23,7,1
109,1,23,91,1
110,0.5,23,123,1
111,0,23,136,5
112,1.5,24,9,1
113,3,24,102,1
114,0,24,136,5
115,1.5,25,7,1
116,3,25,98,1
117,0.5,25,91,1
118,1,25,83,3
119,0,25,136,5
120,3,26,13,1
121,2,26,109,4
122,1,26,128,5
123,1.5,27,14,1
124,0.75,27,92,1
125,0.5,27,123,1
126,2,27,99,1
127,0,27,137,5
128,0.75,28,21,1
129,0.75,28,7,1
130,0.75,28,15,1
131,0.75,28,14,1
132,0.75,28,34,1
133,0.75,28,123,1
134,0.75,28,92,1
135,1,28,98,1
136,0,28,137,5
137,2,29,14,1
138,1,29,92,1
139,0.75,29,123,1
140,1,29,118,5
141,1,29,99,1
142,0,29,160,5
143,1.5,30,14,1
144,0.75,30,92,1
145,0.5,30,123,1
146,0.5,30,30,1
147,10,30,133,7
148,2,31,9,1
149,0.75,31,45,1
150,1,31,125,1
151,0.5,31,91,1
152,0,31,146,5
153,0,31,155,5
154,2,32,39,1
155,1,32,123,1
156,0.75,32,92,1
157,0,32,145,5
158,0,32,155,5
159,2,33,5,1
160,2,33,108,4
161,1,33,127,5
162,1,33,116,5
163,1.5,34,15,1
164,3,34,88,1
165,0.5,34,85,1
166,1,35,26,1
167,1,35,28,1
168,2,35,159,1
169,0,35,161,5
170,2,36,9,1
171,4,36,94,1
172,1,36,88,1
173,1,36,97,1
174,0,36,146,5
175,0,36,157,5
176,1.5,37,21,1
177,0.5,37,25,1
178,0.5,37,43,1
179,0.5,37,88,1
180,0.5,37,87,1
181,1.5,38,7,1
182,0.75,38,46,1
183,2,38,94,1
184,0.75,38,97,1
185,0,38,146,5
186,0,38,155,5
187,2,39,14,1
188,0.75,39,92,1
189,0.5,39,122,1
190,0,39,141,5
191,1.5,40,41,1
192,1.5,40,63,1
193,1,40,99,6
194,0,40,142,5
195,0.75,41,14,1
196,0.5,41,22,1
197,0.75,41,34,1
198,0.75,41,52,1
199,0.75,41,92,1
200,1,42,120,1
201,1.5,42,21,1
202,1.5,42,23,1
203,1,42,28,1
204,0,42,161,5
205,1,43,7,1
206,1,43,9,1
207,1,43,45,1
208,1.5,43,88,1
209,1.5,43,95,1
210,0.5,43,92,1
211,0.5,43,91,1
212,0.25,43,85,1
213,2,43,83,2
214,1,43,131,5
215,0,43,153,5
216,1.5,44,7,1
217,0.75,44,34,1
218,0.75,44,91,1
219,0.25,44,53,1
220,1,45,7,1
221,1,45,10,1
222,0.5,45,27,1
223,0.5,45,25,1
224,1,45,88,1
225,1,45,94,1
226,0.5,45,91,1
227,0.5,45,85,1
228,0.75,46,21,1
229,0.75,46,7,1
230,0.5,46,46,1
231,3,46,94,1
232,1,46,86,1
233,0,46,146,5
234,2,47,7,1
235,1.5,47,97,1
236,1.5,47,94,1
237,1.5,47,91,1
238,0,47,146,5
239,1.5,48,21,1
240,6,48,88,1
241,0,48,138,5
242,1.5,49,4,1
243,2,49,109,4
244,1,49,120,8
245,0,49,158,5
246,4,50,64,1
247,2,50,162,1
248,0,50,147,5
249,3,51,43,1
250,3,51,88,1
251,0,51,145,5